Families	30
Machines	12
MaxSetupTime	50

Number of Jobs in each Family
7	8	9	8	8	10	10	8	10	10	10	9	9	10	7	8	10	10	8	8	8	9	7	10	10	7	10	9	7	10	

Jobs in each Family
0	1	2	3	4	5	6	
7	8	9	10	11	12	13	14	
15	16	17	18	19	20	21	22	23	
24	25	26	27	28	29	30	31	
32	33	34	35	36	37	38	39	
40	41	42	43	44	45	46	47	48	49	
50	51	52	53	54	55	56	57	58	59	
60	61	62	63	64	65	66	67	
68	69	70	71	72	73	74	75	76	77	
78	79	80	81	82	83	84	85	86	87	
88	89	90	91	92	93	94	95	96	97	
98	99	100	101	102	103	104	105	106	
107	108	109	110	111	112	113	114	115	
116	117	118	119	120	121	122	123	124	125	
126	127	128	129	130	131	132	
133	134	135	136	137	138	139	140	
141	142	143	144	145	146	147	148	149	150	
151	152	153	154	155	156	157	158	159	160	
161	162	163	164	165	166	167	168	
169	170	171	172	173	174	175	176	
177	178	179	180	181	182	183	184	
185	186	187	188	189	190	191	192	193	
194	195	196	197	198	199	200	
201	202	203	204	205	206	207	208	209	210	
211	212	213	214	215	216	217	218	219	220	
221	222	223	224	225	226	227	
228	229	230	231	232	233	234	235	236	237	
238	239	240	241	242	243	244	245	246	
247	248	249	250	251	252	253	
254	255	256	257	258	259	260	261	262	263	

Total number of jobs
264

Processing times of jobs
10	6	10	3	10	3	9	2	2	1	1	2	
5	8	1	5	5	4	2	4	2	1	2	9	
1	2	2	7	1	10	9	1	10	7	2	3	
6	2	5	8	5	3	3	2	8	3	10	6	
5	3	4	5	4	2	4	9	1	10	10	2	
9	2	7	3	4	8	4	8	4	4	9	5	
3	2	3	10	5	7	7	6	6	7	8	5	
5	8	4	2	2	6	7	10	1	10	8	4	
4	9	2	3	4	9	2	5	8	4	3	3	
4	6	6	7	9	4	3	5	3	3	7	8	
10	5	9	6	9	2	1	6	8	2	10	5	
9	10	8	6	7	6	2	4	5	10	7	7	
2	7	8	3	9	3	1	6	2	7	9	2	
7	9	7	7	4	2	9	4	10	1	1	4	
4	9	10	5	2	9	2	2	3	5	9	5	
1	6	3	4	1	2	3	9	9	7	4	2	
8	6	4	2	3	6	10	7	8	3	6	10	
1	7	10	5	5	10	6	1	10	4	5	9	
2	6	3	4	2	9	1	3	2	10	5	1	
4	2	1	1	1	8	4	2	2	6	4	3	
9	9	7	2	10	4	10	6	6	1	3	1	
4	1	6	8	10	5	9	9	7	10	1	5	
4	8	1	5	2	10	7	9	5	4	2	10	
4	10	1	10	9	8	9	10	3	1	7	7	
6	6	10	1	10	8	1	6	4	5	6	4	
1	6	5	9	7	10	4	1	1	10	4	9	
9	9	2	6	7	3	5	4	1	6	2	7	
